match_id,start_time_s,start_time_utc,patch,patch_source,winner,winner_team_index,team_1_average_badge,team_2_average_badge,team_1_hero_1,team_1_hero_2,team_1_hero_3,team_1_hero_4,team_1_hero_5,team_1_hero_6,team_2_hero_1,team_2_hero_2,team_2_hero_3,team_2_hero_4,team_2_hero_5,team_2_hero_6
77954241,1777022974,2026-04-24 09:29:34 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,95,95,65,10,15,7,79,19,69,25,76,1,63,18
77954240,1777022973,2026-04-24 09:29:33 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,102,102,13,2,3,1,31,6,15,58,7,19,20,64
77954179,1777022941,2026-04-24 09:29:01 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,114,114,79,1,12,17,58,25,67,35,19,65,50,31
77954167,1777022933,2026-04-24 09:28:53 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,55,52,77,8,79,31,52,10,35,4,80,16,2,65
77954160,1777022931,2026-04-24 09:28:51 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,13,13,76,67,50,25,63,12,66,4,6,58,79,3
77954118,1777022907,2026-04-24 09:28:27 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,93,94,7,80,4,1,65,67,31,12,13,66,76,79
77954079,1777022869,2026-04-24 09:27:49 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,81,81,7,19,10,13,11,31,65,79,2,52,80,18
77954071,1777022860,2026-04-24 09:27:40 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,105,105,50,65,1,20,10,77,69,52,3,19,12,7
77953991,1777022815,2026-04-24 09:26:55 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,46,46,13,15,31,76,4,11,50,1,17,27,2,20
77953986,1777022811,2026-04-24 09:26:51 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,101,101,80,77,11,35,13,15,25,2,1,20,65,17
77953980,1777022808,2026-04-24 09:26:48 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,82,82,65,80,31,10,69,64,13,15,50,72,67,16
